"participant","condition","time","decision","accuracy","threshold","bias","drift","noise"
"1","cheetah",17,"right","correct","12.4449501448816","0.476793000853006","-0.0738176938268396","-0.283177174477069"
"1","turtle",300,"left","incorrect","12.4449501448816","0.476793000853006","-0.0413832424364035","0.0631293771847222"
"1","cheetah",5,"left","correct","12.4449501448816","0.476793000853006","0.125753362159194","1.23436627005406"
"1","cheetah",5,"right","incorrect","12.4449501448816","0.476793000853006","0.151805410912319","-1.59182670503258"
"1","cheetah",6,"left","correct","12.4449501448816","0.476793000853006","0.344846404796768","0.907110124173901"
"1","cheetah",4,"left","correct","12.4449501448816","0.476793000853006","0.272380366684839","1.6700886342446"
"1","cheetah",237,"right","incorrect","12.4449501448816","0.476793000853006","0.134095708722085","-0.159147831044722"
"1","turtle",7,"right","incorrect","12.4449501448816","0.476793000853006","0.18269233355448","-1.13101472660994"
"1","cheetah",11,"right","correct","12.4449501448816","0.476793000853006","-0.397036308617208","-0.146924734323021"
"1","turtle",5,"left","correct","12.4449501448816","0.476793000853006","0.291502295289002","1.11569673475585"
"1","turtle",49,"left","incorrect","12.4449501448816","0.476793000853006","0.0359086203939633","0.0969998278018368"
"1","turtle",14,"left","correct","12.4449501448816","0.476793000853006","0.238895221107696","0.231446215141252"
"1","cheetah",4,"left","incorrect","12.4449501448816","0.476793000853006","-0.43971126595807","2.18414549351604"
"1","turtle",5,"right","incorrect","12.4449501448816","0.476793000853006","0.30827170398286","-1.7229101857142"
"1","cheetah",118,"right","correct","12.4449501448816","0.476793000853006","-0.302324086060425","0.251820318268584"
"1","cheetah",26,"right","incorrect","12.4449501448816","0.476793000853006","0.220098485113255","-0.451523895478494"
"1","turtle",5,"right","incorrect","12.4449501448816","0.476793000853006","0.0592882903711709","-1.54242442481474"
"1","turtle",48,"left","incorrect","12.4449501448816","0.476793000853006","-0.232840721272857","0.369584350849974"
"1","cheetah",32,"right","correct","12.4449501448816","0.476793000853006","-0.158663140394482","-0.0277566506610637"
"1","cheetah",123,"left","incorrect","12.4449501448816","0.476793000853006","-0.249646889489937","0.302730369038359"
"1","turtle",24,"left","correct","12.4449501448816","0.476793000853006","0.232212544730189","0.0401520262961643"
"1","cheetah",4,"right","correct","12.4449501448816","0.476793000853006","-0.107902277537198","-1.65928583435845"
"1","turtle",6,"right","incorrect","12.4449501448816","0.476793000853006","0.151663534647721","-1.20812689561456"
"1","turtle",118,"left","correct","12.4449501448816","0.476793000853006","0.155694292150394","-0.100275480779435"
"1","cheetah",1373,"left","incorrect","12.4449501448816","0.476793000853006","-0.229319824161521","0.234063980413889"
"1","turtle",6,"left","incorrect","12.4449501448816","0.476793000853006","-0.0262899626800573","1.16463069731431"
"1","cheetah",5,"left","correct","12.4449501448816","0.476793000853006","0.314948383056719","1.01226324927682"
"1","turtle",30,"right","correct","12.4449501448816","0.476793000853006","-0.118978364139202","-0.0793545870961656"
"1","turtle",4,"left","correct","12.4449501448816","0.476793000853006","0.215582036926482","1.56849800352891"
