"participant","condition","time","decision","accuracy","threshold","bias","drift","noise"
"1","turtle",13,"right","correct","20.5368611329187","0.444386249679792","-0.175991010803718","-0.55539326299845"
"1","cheetah",3,"left","correct","9.56054099290653","0.444386249679792","0.348161571742085","1.89118085459008"
"1","turtle",12,"left","correct","19.2109457268711","0.444386249679792","0.194236859335093","0.739134094133971"
"1","turtle",7,"right","correct","19.9635770398121","0.444386249679792","-0.149720195523896","-1.27682063353338"
"1","cheetah",8,"left","correct","9.69081347963047","0.444386249679792","0.121550454853471","0.608778366692067"
"1","cheetah",6,"left","correct","8.9336691597436","0.444386249679792","0.0483369354053778","0.908091393666986"
"1","cheetah",8,"right","correct","9.25608524820662","0.444386249679792","-0.170631304711839","-0.402916488169236"
"1","turtle",59,"left","correct","20.3031759283678","0.444386249679792","0.366950086811146","-0.175531856047534"
"1","turtle",69,"right","incorrect","20.4699862408439","0.444386249679792","0.245075285040228","-0.377096876488387"
"1","cheetah",4,"right","correct","10.0386572310797","0.444386249679792","-0.31425131001679","-0.986730258907858"
"1","turtle",63,"left","incorrect","20.1152126649198","0.444386249679792","-0.140004511713182","0.318083801770761"
"1","cheetah",14,"right","incorrect","9.44174233722066","0.444386249679792","0.203273116366492","-0.507570064649026"
"1","turtle",9,"right","incorrect","21.1222377602416","0.444386249679792","0.09974761528667","-1.25222956593444"
"1","cheetah",29,"left","correct","9.89685335928047","0.444386249679792","0.0965897295650635","0.097053093552604"
"1","cheetah",26,"right","incorrect","8.87354331740219","0.444386249679792","0.256250399577669","-0.412589433095306"
"1","cheetah",9,"left","correct","8.54463199244371","0.444386249679792","0.271736032496997","0.300979887919957"
"1","turtle",15,"right","correct","20.5511093765058","0.444386249679792","-0.11006917934766","-0.537795180446998"
"1","turtle",365,"left","correct","19.2138510527804","0.444386249679792","0.108278044969457","-0.0790040315800196"
"1","turtle",25,"right","correct","21.4816828782274","0.444386249679792","-0.335815412660696","-0.0570011023709155"
"1","turtle",15,"right","correct","19.7510742829114","0.444386249679792","-0.315962432919123","-0.303474965725602"
"1","turtle",10,"left","correct","20.0319297182533","0.444386249679792","0.306285460339847","0.855898909534827"
"1","cheetah",10,"left","incorrect","11.0715230327974","0.444386249679792","-0.172462914907354","0.823523350111915"
"1","turtle",5,"right","incorrect","18.9067510994315","0.444386249679792","0.0778284616932916","-2.11572913163463"
"1","cheetah",15,"left","incorrect","10.4984199912379","0.444386249679792","-0.167174522624097","0.571769256449997"
"1","turtle",11,"right","correct","18.6462566641646","0.444386249679792","-0.322331884003635","-0.47829381399637"
"1","cheetah",7,"right","incorrect","9.63091998436559","0.444386249679792","0.300705185217335","-0.95111910480548"
"1","turtle",10,"right","incorrect","18.6102734476803","0.444386249679792","0.19116416022054","-1.06312120721117"
"1","cheetah",24,"right","incorrect","9.54313143449133","0.444386249679792","0.130061789811655","-0.31051853296491"
"1","turtle",27,"right","incorrect","20.9820717224864","0.444386249679792","0.240744342894211","-0.599233166508126"
"1","cheetah",10,"left","correct","10.9723716355991","0.444386249679792","0.252042373203509","0.390338008861573"
"1","turtle",8,"right","correct","21.6392446720496","0.444386249679792","-0.170730354512706","-1.10319753489049"
"1","turtle",6,"right","correct","20.7360286909741","0.444386249679792","-0.158656835971749","-1.58958856887215"
"1","cheetah",4,"left","correct","10.3902206981749","0.444386249679792","0.197872848501116","1.62985259890214"
"1","cheetah",23,"right","correct","10.0935592889192","0.444386249679792","-0.105572139644531","-0.0957346718596247"
"1","cheetah",17,"right","incorrect","10.9090522995717","0.444386249679792","0.118409248435902","-0.412029052280349"
"1","cheetah",3,"right","correct","9.43685937677438","0.444386249679792","-0.272654453584257","-1.33261128822737"
"1","cheetah",5,"right","correct","8.18594883786943","0.444386249679792","-0.0349314609177281","-0.846535374962022"
"1","turtle",11,"left","incorrect","20.4320189104182","0.444386249679792","-0.110581448801","1.23954127561561"
"1","cheetah",9,"left","incorrect","11.6053901567128","0.444386249679792","-0.188122192313374","0.975218258027727"
"1","turtle",26,"left","incorrect","18.9075248309691","0.444386249679792","-0.260920622222872","0.671067666181303"
"1","cheetah",9,"right","incorrect","9.67702774359591","0.444386249679792","0.283934285802471","-0.773947513393065"
"1","cheetah",7,"right","correct","8.57747454543998","0.444386249679792","-0.104073037445048","-0.529849425165368"
"1","turtle",14,"right","incorrect","20.3866873545113","0.444386249679792","0.0798724051324873","-0.729192156565925"
"1","turtle",78,"right","correct","20.901846754332","0.444386249679792","-0.156969879414665","0.0364467809703344"
"1","cheetah",3,"right","incorrect","10.7558887261041","0.444386249679792","0.222487583196709","-1.95469712397814"
"1","turtle",15,"right","incorrect","20.0457047221882","0.444386249679792","0.30862345539458","-0.925347083057354"
"1","turtle",12,"left","correct","19.3856964644229","0.444386249679792","0.256671050510649","0.646936025656276"
"1","cheetah",11,"right","incorrect","11.3154148924374","0.444386249679792","0.186141428168215","-0.670443773323766"
"1","cheetah",7,"left","incorrect","11.4362531049198","0.444386249679792","-0.101223474014338","1.10677658691271"
"1","cheetah",3,"right","correct","10.0167368601186","0.444386249679792","-0.22419850364656","-1.48394530659974"
"1","turtle",86,"left","incorrect","19.1555676733008","0.444386249679792","-0.163149062811512","0.287948216723194"
"1","turtle",10,"left","correct","20.2798367954217","0.444386249679792","0.157547748492721","0.975858600240793"
"1","cheetah",23,"right","correct","10.6470403777413","0.444386249679792","-0.164565670180463","-0.0449007778681293"
"1","cheetah",9,"left","incorrect","9.87835918411583","0.444386249679792","-0.04685121496429","0.68381506823539"
"1","turtle",21,"right","correct","21.2863192778493","0.444386249679792","-0.335726222636068","-0.124766418439127"
"1","turtle",4,"right","incorrect","19.0526134647787","0.444386249679792","0.155037429754747","-2.79111020133286"
